Title,Year,Issue,ArticleURL,Abstract,Author_Name,Author_University
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4,No Abstract,Christian Maier,University of Bamberg
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4,No Abstract,Sven Laumer,Friedrich-Alexander-Universität Erlangen-Nürnberg
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4,No Abstract,Heshan Sun,University of Oklahoma
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4,No Abstract,Jason Bennett Thatcher,University of Colorado Boulder / Alliance Manchester Business School
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4,No Abstract,Tim Weitzel,University of Bamberg
"Research Perspectives: An Encompassing Framework for Conceptualizing Space in Information Systems: Philosophical Perspectives, Themes, and Concepts",2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/3,No Abstract,Amir Haj-Bolouri,University West
"Research Perspectives: An Encompassing Framework for Conceptualizing Space in Information Systems: Philosophical Perspectives, Themes, and Concepts",2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/3,No Abstract,Kieran Conboy,University of Galway
"Research Perspectives: An Encompassing Framework for Conceptualizing Space in Information Systems: Philosophical Perspectives, Themes, and Concepts",2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/3,No Abstract,Shirley Gregor,Australian National University
Firm Competitive Structure and Consumer Reaction in Search Advertisings,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/2,No Abstract,Cheng Nie,Iowa State University
Firm Competitive Structure and Consumer Reaction in Search Advertisings,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/2,No Abstract,Zhiqiang (Eric) Zheng,University of Texas at Dallas
Firm Competitive Structure and Consumer Reaction in Search Advertisings,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/2,No Abstract,Sumit Sarkar,University of Texas at Dallas
Judging the Wrongness of Firms in Social Media Firestorms: The Heuristic and Systematic Information Processing Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/1,No Abstract,Tommy K. H. Chan,The University of Manchester
Judging the Wrongness of Firms in Social Media Firestorms: The Heuristic and Systematic Information Processing Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/1,No Abstract,Zach W. Y. Lee,The University of Leicester
Judging the Wrongness of Firms in Social Media Firestorms: The Heuristic and Systematic Information Processing Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/1,No Abstract,Dimitra Skoumpopoulou,Northumbria University
Judging the Wrongness of Firms in Social Media Firestorms: The Heuristic and Systematic Information Processing Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/1,No Abstract,Frederik Situmeang,Amsterdam University of Applied Sciences
About Theory and Theorizing,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/11,No Abstract,Dorothy E. Leidner,University of Virginia
About Theory and Theorizing,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/11,No Abstract,Robert W. Gregory,University of Miami
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10,No Abstract,Alexander Rieger,University of Arkansas / University of Luxembourg
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10,No Abstract,Tamara Roth,University of Arkansas / University of Luxembourg
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10,No Abstract,Johannes Sedlmeir,University of Luxembourg
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10,No Abstract,Gilbert Fridgen,University of Luxembourg
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10,No Abstract,Amber Young,University of Arkansas
“My Name is Alexa. What’s Your Name?” The Impact of Reciprocal Self-Disclosure on Post-Interaction Trust in Conversational Agents,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/9,No Abstract,Kambiz Saffarizadeh,University of Texas at Arlington
“My Name is Alexa. What’s Your Name?” The Impact of Reciprocal Self-Disclosure on Post-Interaction Trust in Conversational Agents,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/9,No Abstract,Mark Keil,Georgia State University
“My Name is Alexa. What’s Your Name?” The Impact of Reciprocal Self-Disclosure on Post-Interaction Trust in Conversational Agents,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/9,No Abstract,Maheshwar Boodraj,Boise State University
“My Name is Alexa. What’s Your Name?” The Impact of Reciprocal Self-Disclosure on Post-Interaction Trust in Conversational Agents,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/9,No Abstract,Tawfiq Alashoor,University of Navarra
Digital Institutionalization: The Case of E-Prescribing,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/8,No Abstract,Owen Eriksson,Uppsala University
The Contingent Effects of IS Certifications on the Trustworthiness of Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/7,No Abstract,Martin Adam,University of Goettingen
The Contingent Effects of IS Certifications on the Trustworthiness of Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/7,No Abstract,Sebastian Lins,Karlsruhe Institute of Technology
The Contingent Effects of IS Certifications on the Trustworthiness of Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/7,No Abstract,Ali Sunyaev,Karlsruhe Institute of Technology
The Contingent Effects of IS Certifications on the Trustworthiness of Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/7,No Abstract,Alexander Benlian,Technical University of Darmstadt
The Effects of Featuring Product Sampling Reviews on E-Tailer Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/6,No Abstract,Xianghua Lu,Fudan University
The Effects of Featuring Product Sampling Reviews on E-Tailer Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/6,No Abstract,David Phang,"University of Nottingham, Ningbo"
The Effects of Featuring Product Sampling Reviews on E-Tailer Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/6,No Abstract,Sulin Ba,Depaul University
The Effects of Featuring Product Sampling Reviews on E-Tailer Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/6,No Abstract,Xinlin Yao,Naikai University
The Impact of Feature Exploitation and Exploration on Mobile Application Evolution and Success,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/5,No Abstract,Shadi Shuraida,Téluq University
The Impact of Feature Exploitation and Exploration on Mobile Application Evolution and Success,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/5,No Abstract,Qiang Gao,"Baruch College, City University of New York"
The Impact of Feature Exploitation and Exploration on Mobile Application Evolution and Success,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/5,No Abstract,Hani Safadi,University of Georgia
The Impact of Feature Exploitation and Exploration on Mobile Application Evolution and Success,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/5,No Abstract,Radhika Jain,"Baruch College, City University of New York"
Don’t Take It Personally: An Empirical Investigation of Consumer Responses to Explicit Targeting,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/4,No Abstract,Dimitrios Tsekouras,Erasmus University
Don’t Take It Personally: An Empirical Investigation of Consumer Responses to Explicit Targeting,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/4,No Abstract,Ting Li,Erasmus University
Don’t Take It Personally: An Empirical Investigation of Consumer Responses to Explicit Targeting,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/4,No Abstract,Thomas W. Frick,Secomea A/S
The Role of Online and Geographically Distant Social Networks in Political Decision-Making: Empirical Evidence from the 2016 United States Presidential Election,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/3,No Abstract,Ecem Basak,"Baruch College, City University of New York"
The Role of Online and Geographically Distant Social Networks in Political Decision-Making: Empirical Evidence from the 2016 United States Presidential Election,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/3,No Abstract,Ali Tafti,Univrersity of Illinois Chicago
The Role of Online and Geographically Distant Social Networks in Political Decision-Making: Empirical Evidence from the 2016 United States Presidential Election,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/3,No Abstract,Min-Seok Pang,Temple University
Mechanisms for Achieving Ambidexterity in the Context of Digital Transformation: Insights from Digital Innovation Labs,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/2,No Abstract,Friedrich Holotiuk,Frankfurt School of Finance & Management
Mechanisms for Achieving Ambidexterity in the Context of Digital Transformation: Insights from Digital Innovation Labs,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/2,No Abstract,Daniel Beimborn,University of Bamberg
Mechanisms for Achieving Ambidexterity in the Context of Digital Transformation: Insights from Digital Innovation Labs,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/2,No Abstract,Axel Hund,German Graduate School
Creating Collaboration: How Social Movement Organizations Shape Digital Activism to Promote Broader Social Change,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/1,No Abstract,Shahla Ghobadi,University of Leeds
Creating Collaboration: How Social Movement Organizations Shape Digital Activism to Promote Broader Social Change,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/1,No Abstract,Scott Sonenshein,Rice University
Feedback Loops in Machine Learning: A Study on the Interplay of Continuous Updating and Human Discrimination,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/9,No Abstract,Kevin Bauer,University of Mannheim
Feedback Loops in Machine Learning: A Study on the Interplay of Continuous Updating and Human Discrimination,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/9,No Abstract,Rebecca Heigl,Goethe University Frankfurt
Feedback Loops in Machine Learning: A Study on the Interplay of Continuous Updating and Human Discrimination,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/9,No Abstract,Oliver Hinz,Goethe University of Frankfurt
Feedback Loops in Machine Learning: A Study on the Interplay of Continuous Updating and Human Discrimination,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/9,No Abstract,Michael Kosfeld,Goethe University Frankfurt
Power as “Present-in-Actions” in Mundane Information Systems Work,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/8,No Abstract,Boyka Simeonova,University of Leicester
Power as “Present-in-Actions” in Mundane Information Systems Work,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/8,No Abstract,Paul R. Kelly,University of Essex
Power as “Present-in-Actions” in Mundane Information Systems Work,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/8,No Abstract,Stan Karanasios,University of Queensland
Power as “Present-in-Actions” in Mundane Information Systems Work,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/8,No Abstract,Robert D. Galliers,Bentley University
The Influence of Political Skill and Community Capabilities on Microtask Worker Hourly Wage: A Mixed Methods Study of Mechanical Turk,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/7,No Abstract,Paul M. Di Gangi,University of Alabama at Birmingham
The Influence of Political Skill and Community Capabilities on Microtask Worker Hourly Wage: A Mixed Methods Study of Mechanical Turk,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/7,No Abstract,Jack L. Howard,University of Alabama At Birmingham
The Influence of Political Skill and Community Capabilities on Microtask Worker Hourly Wage: A Mixed Methods Study of Mechanical Turk,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/7,No Abstract,Charn P. McAllister,Northern Arizona University
The Influence of Political Skill and Community Capabilities on Microtask Worker Hourly Wage: A Mixed Methods Study of Mechanical Turk,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/7,No Abstract,Jason Bennett Thatcher,University of Colorado Boulder / University of Manchester
Human-Centered Design and Evaluation of a NeuroIS Tool for Flow Support,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/6,No Abstract,Marc T.P. Adam,"The University of Newcastle, Australia"
Human-Centered Design and Evaluation of a NeuroIS Tool for Flow Support,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/6,No Abstract,Lukas Bonenberger,Augsburg Technical University of Applied Sciences / University of Hohenheim
Human-Centered Design and Evaluation of a NeuroIS Tool for Flow Support,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/6,No Abstract,Henner Gimpel,University of Hohenheim / FIM Research Center
Human-Centered Design and Evaluation of a NeuroIS Tool for Flow Support,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/6,No Abstract,Julia Lanzl,University of Hohenheim / FIM Research Center
Effective Intervention in User Adaptation: A 2×2 Coping Framework Entailing Implementation and Contextual Factors,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/5,No Abstract,Yue (Katherine) Feng,Hong Kong Polytechnic University
Effective Intervention in User Adaptation: A 2×2 Coping Framework Entailing Implementation and Contextual Factors,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/5,No Abstract,Nadia Yin Yu,NEOMA Business School
Effective Intervention in User Adaptation: A 2×2 Coping Framework Entailing Implementation and Contextual Factors,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/5,No Abstract,Kar Yan Tam,Hong Kong University of Science and Technology
Effective Intervention in User Adaptation: A 2×2 Coping Framework Entailing Implementation and Contextual Factors,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/5,No Abstract,Michael C. Lai,Hong Kong University of Science and Technology
Understanding the Role of Lead Organizational Donor Types in Civic Crowdfunding,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/4,No Abstract,Ghazwan Hassna,Hawaii Pacific University
Understanding the Role of Lead Organizational Donor Types in Civic Crowdfunding,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/4,No Abstract,Gordon Burtch,Boston University
Understanding the Role of Lead Organizational Donor Types in Civic Crowdfunding,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/4,No Abstract,J. Leon Zhao,Chinese University of Hong Kong (Shenzhen)
Roles of Feedback and Phishing Characteristics in Antiphishing Training Performance: Perspectives of Goal Setting and Skill Acquisition,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/3,No Abstract,Shihe Pan,Tianjin University
Roles of Feedback and Phishing Characteristics in Antiphishing Training Performance: Perspectives of Goal Setting and Skill Acquisition,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/3,No Abstract,Dong-Heon Kwak,Kent State University
Roles of Feedback and Phishing Characteristics in Antiphishing Training Performance: Perspectives of Goal Setting and Skill Acquisition,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/3,No Abstract,Jungwon Kuem,State University of New York Albany
Roles of Feedback and Phishing Characteristics in Antiphishing Training Performance: Perspectives of Goal Setting and Skill Acquisition,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/3,No Abstract,Sung S. Kim,University of Wisconsin-Madison
An Empirical Investigation of The Unintended Consequences of Vulnerability Assessments Leading to Betrayal,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/2,No Abstract,Dan Pienta,"University of Tennessee, Knoxville"
An Empirical Investigation of The Unintended Consequences of Vulnerability Assessments Leading to Betrayal,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/2,No Abstract,Jason Bennett Thatcher,University of Colorado Boulder / University of Manchester
An Empirical Investigation of The Unintended Consequences of Vulnerability Assessments Leading to Betrayal,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/2,No Abstract,Ryan T. Wright,University of Virginia
An Empirical Investigation of The Unintended Consequences of Vulnerability Assessments Leading to Betrayal,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/2,No Abstract,Philip L. Roth,Clemson University
Consumers’ Opinion Orientations and Their Credit Risk: An Econometric Analysis Enhanced by Multimodal Analytics,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/1,No Abstract,Qiping Wang,East China Normal University
Consumers’ Opinion Orientations and Their Credit Risk: An Econometric Analysis Enhanced by Multimodal Analytics,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/1,No Abstract,Raymond Yiu Keung Lau,City University of Hong Kong
Consumers’ Opinion Orientations and Their Credit Risk: An Econometric Analysis Enhanced by Multimodal Analytics,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/1,No Abstract,Wai Ting Eric Ngai,The Hong Kong Polytechnic University
Consumers’ Opinion Orientations and Their Credit Risk: An Econometric Analysis Enhanced by Multimodal Analytics,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/1,No Abstract,Jason Bennett Thatcher,University of Colorado Boulder / University of Manchester
