URL,Journal_Title,Standardized_Title,month_year,Abstract,Keywords,Author_Name,Standardized_Author,Author_University,Standardized_University,Author_State,Author_Country
https://www.sciencedirect.com/science/article/pii/S0306437925001528,Information Systems,ACTER: Activity Customization through Timely and Explainable Recommendations,,,"['Explainable recommendations', 'Contextual rules', 'Context inference']",Niccolò Marastoni,Niccolò Marastoni,University of Verona,University of Verona,,Italy
https://www.sciencedirect.com/science/article/pii/S0306437925001528,Information Systems,ACTER: Activity Customization through Timely and Explainable Recommendations,,,"['Explainable recommendations', 'Contextual rules', 'Context inference']",Barbara Oliboni,Barbara Oliboni,University of Verona,University of Verona,,Italy
https://www.sciencedirect.com/science/article/pii/S0306437925001528,Information Systems,ACTER: Activity Customization through Timely and Explainable Recommendations,,,"['Explainable recommendations', 'Contextual rules', 'Context inference']",Elisa Quintarelli,Elisa Quintarelli,University of Verona,University of Verona,,Italy
https://www.sciencedirect.com/science/article/pii/S0306437925001516,Information Systems,"From precision to perception: Human-in-the-loop evaluation of keyword extraction for internet-scale contextual advertising☆,☆☆",,,"['Human evaluation', 'Human-in-the-loop', 'Keyword extraction', 'Statistical methods', 'Word embeddings', 'Language models', 'Contextual advertising']",Jingwen Cai,Jingwen Cai,Umeå University,Umeå University,,Sweden
https://www.sciencedirect.com/science/article/pii/S0306437925001516,Information Systems,"From precision to perception: Human-in-the-loop evaluation of keyword extraction for internet-scale contextual advertising☆,☆☆",,,"['Human evaluation', 'Human-in-the-loop', 'Keyword extraction', 'Statistical methods', 'Word embeddings', 'Language models', 'Contextual advertising']",Sara Leckner,Sara Leckner,Malmö University,Malmö University,,Sweden
https://www.sciencedirect.com/science/article/pii/S0306437925001516,Information Systems,"From precision to perception: Human-in-the-loop evaluation of keyword extraction for internet-scale contextual advertising☆,☆☆",,,"['Human evaluation', 'Human-in-the-loop', 'Keyword extraction', 'Statistical methods', 'Word embeddings', 'Language models', 'Contextual advertising']",Johanna Björklund,Johanna Björklund,Umeå University,Umeå University,,Sweden
https://www.sciencedirect.com/science/article/pii/S0306437925001504,Information Systems,Visualizing repetition in process execution variants from partially ordered event data☆,,,"['Process mining', 'Business process management', 'Partially ordered event data', 'Data visualization', 'Visual analytics']",Ariba Siddiqui,Ariba Siddiqui,Fraunhofer Institute for Applied Information Technology FIT,Fraunhofer Institute for Applied Information Technology FIT,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001504,Information Systems,Visualizing repetition in process execution variants from partially ordered event data☆,,,"['Process mining', 'Business process management', 'Partially ordered event data', 'Data visualization', 'Visual analytics']",Francesca Zerbato,Francesca Zerbato,Eindhoven University of Technology,Eindhoven University of Technology,,The Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437925001504,Information Systems,Visualizing repetition in process execution variants from partially ordered event data☆,,,"['Process mining', 'Business process management', 'Partially ordered event data', 'Data visualization', 'Visual analytics']",Daniel Schuster,Daniel Schuster,Fraunhofer Institute for Applied Information Technology FIT,Fraunhofer Institute for Applied Information Technology FIT,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001462,Information Systems,HILTS: Human-LLM collaboration for effective data labeling☆,,,[],Juliana Barbosa,Juliana Barbosa,New York University,New York University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001462,Information Systems,HILTS: Human-LLM collaboration for effective data labeling☆,,,[],Eduarda Alencar,Eduarda Alencar,New York University,New York University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001462,Information Systems,HILTS: Human-LLM collaboration for effective data labeling☆,,,[],Grace Fan,Grace Fan,New York University,New York University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001462,Information Systems,HILTS: Human-LLM collaboration for effective data labeling☆,,,[],Aécio Santos,Aécio Santos,New York University,New York University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001462,Information Systems,HILTS: Human-LLM collaboration for effective data labeling☆,,,[],Juliana Freire,Juliana Freire,New York University,New York University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Jie Jeff Xu,Jie Jeff Xu,Georgia Institute of Technology,Georgia Institute of Technology,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Saahir Dhanani,Saahir Dhanani,Georgia Institute of Technology,Georgia Institute of Technology,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Jorge Piazentin Ono,Jorge Piazentin Ono,,,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Wenbin He,Wenbin He,,,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Liu Ren,Liu Ren,,,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001383,Information Systems,VCR: Interpretable and interactive debugging of object detection models with visual concepts☆,,,"['Slice discovery methods', 'Visual concepts', 'Human-in-the-loop']",Kexin Rong,Kexin Rong,Georgia Institute of Technology,Georgia Institute of Technology,,USA
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Graziano Blasilli,Graziano Blasilli,Sapienza University of Rome,Sapienza University of Rome,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Lauren S. Ferro,Lauren S. Ferro,RMIT University,RMIT University,,Australia
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Simone Lenti,Simone Lenti,Sapienza University of Rome,Sapienza University of Rome,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Fabrizio Maria Maggi,Fabrizio Maria Maggi,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Andrea Marrella,Andrea Marrella,Sapienza University of Rome,Sapienza University of Rome,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500153X,Information Systems,Improving the understandability of declarative process discovery results using easyDeclare☆,,,"['Understandability of declarative process discovery results', 'Process modeling languages', 'Declare', 'easyDeclare visual notation', 'Design principles']",Tiziana Catarci,Tiziana Catarci,Sapienza University of Rome,Sapienza University of Rome,,Italy
https://www.sciencedirect.com/science/article/pii/S0306437925001577,Information Systems,Graph-based similarity measures for the structural comparison of process traces,,,"['Process mining', 'Similarity measure', 'Trace variant analysis']",Clemens Schreiber,Clemens Schreiber,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001577,Information Systems,Graph-based similarity measures for the structural comparison of process traces,,,"['Process mining', 'Similarity measure', 'Trace variant analysis']",Amine Abbad-Andaloussi,Amine Abbad-Andaloussi,University of St. Gallen,University of St. Gallen,,Switzerland
https://www.sciencedirect.com/science/article/pii/S0306437925001577,Information Systems,Graph-based similarity measures for the structural comparison of process traces,,,"['Process mining', 'Similarity measure', 'Trace variant analysis']",Andrea Burattin,Andrea Burattin,Technical University of Denmark,Technical University of Denmark,,Denmark
https://www.sciencedirect.com/science/article/pii/S0306437925001577,Information Systems,Graph-based similarity measures for the structural comparison of process traces,,,"['Process mining', 'Similarity measure', 'Trace variant analysis']",Andreas Oberweis,Andreas Oberweis,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001577,Information Systems,Graph-based similarity measures for the structural comparison of process traces,,,"['Process mining', 'Similarity measure', 'Trace variant analysis']",Barbara Weber,Barbara Weber,University of St. Gallen,University of St. Gallen,,Switzerland
https://www.sciencedirect.com/science/article/pii/S0306437925001553,Information Systems,,,,[],,,,,,
https://www.sciencedirect.com/science/article/pii/S0306437925001474,Information Systems,A visualization-driven decision support system for selecting feature attribution methods☆,,,[],Priscylla Silva,Priscylla Silva,University of São Paulo,University of São Paulo,,São Paulo Brazil
https://www.sciencedirect.com/science/article/pii/S0306437925001474,Information Systems,A visualization-driven decision support system for selecting feature attribution methods☆,,,[],Evandro Ortigossa,Evandro Ortigossa,University of São Paulo,University of São Paulo,,São Paulo Brazil
https://www.sciencedirect.com/science/article/pii/S0306437925001474,Information Systems,A visualization-driven decision support system for selecting feature attribution methods☆,,,[],Dishita Turakhia,Dishita Turakhia,,,,United States
https://www.sciencedirect.com/science/article/pii/S0306437925001474,Information Systems,A visualization-driven decision support system for selecting feature attribution methods☆,,,[],Claudio Silva,Claudio Silva,,,,United States
https://www.sciencedirect.com/science/article/pii/S0306437925001474,Information Systems,A visualization-driven decision support system for selecting feature attribution methods☆,,,[],Luis Gustavo Nonato,Luis Gustavo Nonato,University of São Paulo,University of São Paulo,,São Paulo Brazil
https://www.sciencedirect.com/science/article/pii/S0306437926000062,Information Systems,DynaHash: An efficient blocking structure for streaming record linkage,,,"['Record linkage', 'Locality-sensitive hashing', 'Multi-Probe matching']",Dimitrios Karapiperis,Dimitrios Karapiperis,International Hellenic University,International Hellenic University,,Greece
https://www.sciencedirect.com/science/article/pii/S0306437926000062,Information Systems,DynaHash: An efficient blocking structure for streaming record linkage,,,"['Record linkage', 'Locality-sensitive hashing', 'Multi-Probe matching']",Christos Tjortjis,Christos Tjortjis,International Hellenic University,International Hellenic University,,Greece
https://www.sciencedirect.com/science/article/pii/S0306437926000062,Information Systems,DynaHash: An efficient blocking structure for streaming record linkage,,,"['Record linkage', 'Locality-sensitive hashing', 'Multi-Probe matching']",Vassilios S. Verykios,Vassilios S. Verykios,Hellenic Open University,Hellenic Open University,,Greece
https://www.sciencedirect.com/science/article/pii/S0306437926000050,Information Systems,A Generalized CALM Theorem for Non-Deterministic Computation in Asynchronous Distributed Systems,,,[],Tim Baccaert,Tim Baccaert,,,,Belgium
https://www.sciencedirect.com/science/article/pii/S0306437926000050,Information Systems,A Generalized CALM Theorem for Non-Deterministic Computation in Asynchronous Distributed Systems,,,[],Bas Ketsman,Bas Ketsman,,,,Belgium
https://www.sciencedirect.com/science/article/pii/S0306437926000013,Information Systems,Example-driven semantic-similarity-aware query intent discovery: Empowering users to cross the SQL barrier through query by example☆,,,"['Query by example', 'Abductive reasoning', 'User studies']",Anna Fariha,Anna Fariha,University of Utah,University of Utah,,USA
https://www.sciencedirect.com/science/article/pii/S0306437926000013,Information Systems,Example-driven semantic-similarity-aware query intent discovery: Empowering users to cross the SQL barrier through query by example☆,,,"['Query by example', 'Abductive reasoning', 'User studies']",Lucy Cousins,Lucy Cousins,,,,USA
https://www.sciencedirect.com/science/article/pii/S0306437926000013,Information Systems,Example-driven semantic-similarity-aware query intent discovery: Empowering users to cross the SQL barrier through query by example☆,,,"['Query by example', 'Abductive reasoning', 'User studies']",Narges Mahyar,Narges Mahyar,University of Massachusetts,University of Massachusetts,,USA
https://www.sciencedirect.com/science/article/pii/S0306437926000013,Information Systems,Example-driven semantic-similarity-aware query intent discovery: Empowering users to cross the SQL barrier through query by example☆,,,"['Query by example', 'Abductive reasoning', 'User studies']",Alexandra Meliou,Alexandra Meliou,University of Massachusetts,University of Massachusetts,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",Zaher Joukhadar,Zaher Joukhadar,The University of Melbourne,The University of Melbourne,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",Hanxun Huang,Hanxun Huang,The University of Melbourne,The University of Melbourne,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",Sarah Monazam Erfani,Sarah Monazam Erfani,The University of Melbourne,The University of Melbourne,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",Ricardo J.G.B. Campello,Ricardo J.G.B. Campello,University of Southern Denmark,University of Southern Denmark,,Denmark
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",Michael E. Houle,Michael E. Houle,New Jersey Institute of Technology,New Jersey Institute of Technology,,USA
https://www.sciencedirect.com/science/article/pii/S0306437925001541,Information Systems,A Bayesian framework for robust local intrinsic dimensionality estimation☆,,,"['Local Intrinsic Dimensionality', 'LID', 'Bayesian estimation', 'Manifold learning', 'Gamma distribution', 'Nearest neighbor methods']",James Bailey,James Bailey,The University of Melbourne,The University of Melbourne,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Yongming Guan,Yongming Guan,School of Software,School of Software,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Chengdong Zheng,Chengdong Zheng,,,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Yuliang Shi,Yuliang Shi,School of Software,School of Software,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Gang Wang,Gang Wang,,,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Linfeng Wu,Linfeng Wu,,,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Zhiyong Chen,Zhiyong Chen,School of Software,School of Software,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000074,Information Systems,MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,,,[],Hui Li,Hui Li,School of Software,School of Software,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000086,Information Systems,Automated decision-making for dynamic task assignment at scale,,,"['Task assignment problem', 'Deep reinforcement learning', 'Business process optimization', 'Graph neural network']",Riccardo Lo Bianco,Riccardo Lo Bianco,Eindhoven University of Technology,Eindhoven University of Technology,,Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437926000086,Information Systems,Automated decision-making for dynamic task assignment at scale,,,"['Task assignment problem', 'Deep reinforcement learning', 'Business process optimization', 'Graph neural network']",Willem van Jaarsveld,Willem Van Jaarsveld,Eindhoven University of Technology,Eindhoven University of Technology,,Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437926000086,Information Systems,Automated decision-making for dynamic task assignment at scale,,,"['Task assignment problem', 'Deep reinforcement learning', 'Business process optimization', 'Graph neural network']",Jeroen Middelhuis,Jeroen Middelhuis,Eindhoven University of Technology,Eindhoven University of Technology,,Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437926000086,Information Systems,Automated decision-making for dynamic task assignment at scale,,,"['Task assignment problem', 'Deep reinforcement learning', 'Business process optimization', 'Graph neural network']",Luca Begnardi,Luca Begnardi,Eindhoven University of Technology,Eindhoven University of Technology,,Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437926000086,Information Systems,Automated decision-making for dynamic task assignment at scale,,,"['Task assignment problem', 'Deep reinforcement learning', 'Business process optimization', 'Graph neural network']",Remco Dijkman,Remco Dijkman,Eindhoven University of Technology,Eindhoven University of Technology,,Netherlands
https://www.sciencedirect.com/science/article/pii/S0306437925001565,Information Systems,HLR-SQL: Human-like reasoning for Text-to-SQL with the human in the loop☆,,,"['Text-to-SQL', 'NL2SQL', 'Natural language interface for databases', 'Reasoning']",Timo Eckmann,Timo Eckmann,Technical University of Darmstadt,Technical University of Darmstadt,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001565,Information Systems,HLR-SQL: Human-like reasoning for Text-to-SQL with the human in the loop☆,,,"['Text-to-SQL', 'NL2SQL', 'Natural language interface for databases', 'Reasoning']",Matthias Urban,Matthias Urban,Technical University of Darmstadt,Technical University of Darmstadt,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001565,Information Systems,HLR-SQL: Human-like reasoning for Text-to-SQL with the human in the loop☆,,,"['Text-to-SQL', 'NL2SQL', 'Natural language interface for databases', 'Reasoning']",Jan-Micha Bodensohn,Jan-Micha Bodensohn,Technical University of Darmstadt,Technical University of Darmstadt,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001565,Information Systems,HLR-SQL: Human-like reasoning for Text-to-SQL with the human in the loop☆,,,"['Text-to-SQL', 'NL2SQL', 'Natural language interface for databases', 'Reasoning']",Carsten Binnig,Carsten Binnig,Technical University of Darmstadt,Technical University of Darmstadt,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001358,Information Systems,Exploring cultural commonsense in multilingual large language models: A survey,,,[],Geleta Negasa Binegde,Geleta Negasa Binegde,School of Computer Science and Technology Beijing Institute of Technology,School of Computer Science and Technology Beijing Institute of Technology,,China
https://www.sciencedirect.com/science/article/pii/S0306437925001358,Information Systems,Exploring cultural commonsense in multilingual large language models: A survey,,,[],Huaping Zhang,Huaping Zhang,School of Computer Science and Technology Beijing Institute of Technology,School of Computer Science and Technology Beijing Institute of Technology,,China
https://www.sciencedirect.com/science/article/pii/S0306437926000037,Information Systems,A decade of systems for human data interaction☆,,,[],Eugene Wu,Eugene Wu,Columbia University,Columbia University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437926000037,Information Systems,A decade of systems for human data interaction☆,,,[],Yiru Chen,Yiru Chen,Columbia University,Columbia University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437926000037,Information Systems,A decade of systems for human data interaction☆,,,[],Haneen Mohammed,Haneen Mohammed,Columbia University,Columbia University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437926000037,Information Systems,A decade of systems for human data interaction☆,,,[],Zezhou Huang,Zezhou Huang,Columbia University,Columbia University,,United States of America
https://www.sciencedirect.com/science/article/pii/S0306437925001619,Information Systems,Editorial Board,,,[],,,,,,
https://www.sciencedirect.com/science/article/pii/S0306437925001292,Information Systems,"The many facets of fairness in recommender systems: Consumers, providers and items",,,"['Recommender systems', 'Multi-stakeholders', 'Fairness']",Reza Shafiloo,Reza Shafiloo,Tampere University,Tampere University,,Finland
https://www.sciencedirect.com/science/article/pii/S0306437925001292,Information Systems,"The many facets of fairness in recommender systems: Consumers, providers and items",,,"['Recommender systems', 'Multi-stakeholders', 'Fairness']",Maria Stratigi,Maria Stratigi,Tampere University,Tampere University,,Finland
https://www.sciencedirect.com/science/article/pii/S0306437925001292,Information Systems,"The many facets of fairness in recommender systems: Consumers, providers and items",,,"['Recommender systems', 'Multi-stakeholders', 'Fairness']",Jaakko Peltonen,Jaakko Peltonen,Tampere University,Tampere University,,Finland
https://www.sciencedirect.com/science/article/pii/S0306437925001292,Information Systems,"The many facets of fairness in recommender systems: Consumers, providers and items",,,"['Recommender systems', 'Multi-stakeholders', 'Fairness']",Thomas Olsson,Thomas Olsson,Tampere University,Tampere University,,Finland
https://www.sciencedirect.com/science/article/pii/S0306437925001292,Information Systems,"The many facets of fairness in recommender systems: Consumers, providers and items",,,"['Recommender systems', 'Multi-stakeholders', 'Fairness']",Kostas Stefanidis,Kostas Stefanidis,Tampere University,Tampere University,,Finland
https://www.sciencedirect.com/science/article/pii/S0306437925001334,Information Systems,New compressed indices for multijoins on graph databases,,,"['Worst-case-optimal', 'Multijoins', 'Graph databases', 'Compact data structures']",Diego Arroyuelo,Diego Arroyuelo,,,,Chile
https://www.sciencedirect.com/science/article/pii/S0306437925001334,Information Systems,New compressed indices for multijoins on graph databases,,,"['Worst-case-optimal', 'Multijoins', 'Graph databases', 'Compact data structures']",Fabrizio Barisione,Fabrizio Barisione,,,,Chile
https://www.sciencedirect.com/science/article/pii/S0306437925001334,Information Systems,New compressed indices for multijoins on graph databases,,,"['Worst-case-optimal', 'Multijoins', 'Graph databases', 'Compact data structures']",Antonio Fariña,Antonio Fariña,,,,Spain
https://www.sciencedirect.com/science/article/pii/S0306437925001334,Information Systems,New compressed indices for multijoins on graph databases,,,"['Worst-case-optimal', 'Multijoins', 'Graph databases', 'Compact data structures']",Adrián Gómez-Brandón,Adrián Gómez-Brandón,,,,Spain
https://www.sciencedirect.com/science/article/pii/S0306437925001334,Information Systems,New compressed indices for multijoins on graph databases,,,"['Worst-case-optimal', 'Multijoins', 'Graph databases', 'Compact data structures']",Gonzalo Navarro,Gonzalo Navarro,,,,Chile
